20041004_03_PIC-A-40.CEL	Bl6_Poly-IC_in-vitro_0040___BMDM_Mouse
20041004_04_PIC-A-60.CEL	Bl6_Poly-IC_in-vitro_0060___BMDM_Mouse
20041004_05_PIC-A-80.CEL	Bl6_Poly-IC_in-vitro_0080___BMDM_Mouse
20041004_06_PIC-A-120.CEL	Bl6_Poly-IC_in-vitro_0120___BMDM_Mouse
20041005_01_PIC-B-0.CEL	Bl6_Unstimulated_in-vitro_0000___BMDM_Mouse
20041005_02_PIC-B-20.CEL	Bl6_Poly-IC_in-vitro_0020___BMDM_Mouse
20041005_03_PIC-B-40.CEL	Bl6_Poly-IC_in-vitro_0040___BMDM_Mouse
20041005_04_PIC-B-60.CEL	Bl6_Poly-IC_in-vitro_0060___BMDM_Mouse
20041005_05_PIC-C-0.CEL	Bl6_Unstimulated_in-vitro_0000___BMDM_Mouse
20041005_06_PIC-C-40.CEL	Bl6_Poly-IC_in-vitro_0040___BMDM_Mouse
20041011_02_R848-A-20.CEL	Bl6_R848_in-vitro_0020___BMDM_Mouse
20041011_03_R848-A-40.CEL	Bl6_R848_in-vitro_0040___BMDM_Mouse
20041011_04_R848-A-60.CEL	Bl6_R848_in-vitro_0060___BMDM_Mouse
20041011_05_R848-A-80.CEL	Bl6_R848_in-vitro_0080___BMDM_Mouse
20041011_06_R848-A-120.CEL	Bl6_R848_in-vitro_0120___BMDM_Mouse
20041012_02_R848-B-20.CEL	Bl6_R848_in-vitro_0020___BMDM_Mouse
20041012_03_R848-B-40.CEL	Bl6_R848_in-vitro_0040___BMDM_Mouse
20041012_04_R848-B-60.CEL	Bl6_R848_in-vitro_0060___BMDM_Mouse
20041012_05_R848-B-80.CEL	Bl6_R848_in-vitro_0080___BMDM_Mouse
20041012_06_R848-B-120.CEL	Bl6_R848_in-vitro_0120___BMDM_Mouse
20041020_01_D4_T091317_1um_LPS_10ng-ul_2h.CEL	Bl6_D4+LPS_in-vitro_0120_in-vitro_0120_BMDM_Mouse
20041020_02_D4_T091317_1um_24h.CEL	Bl6_D4_in-vitro_1440___BMDM_Mouse
20041020_03_D4_T091317_1um_LPS_10ng-ul_24h.CEL	Bl6_D4+LPS_in-vitro_1440_in-vitro_1440_BMDM_Mouse
20041020_04_LPS_10ng-ul_24h.CEL	Bl6_LPS_in-vitro_1440___BMDM_Mouse
20041215_08_D4_091317_1um_2h.CEL	Bl6_D4_in-vitro_0120___BMDM_Mouse
20041222_01_D4_091317_1um_2h.CEL	Bl6_D4_in-vitro_0120___BMDM_Mouse
20041222_02_D4_091317_1um_LPS_10ng-ul_2h.CEL	Bl6_D4+LPS_in-vitro_0120_in-vitro_0120_BMDM_Mouse
20041222_03_D4_091317_1um_2h_PAM3_300ng-ml.CEL	Bl6_D4+PAM3_in-vitro_0120_in-vitro_0120_BMDM_Mouse
20041222_04_D4_091317_1um_2h_PolyIC_6ug-ml.CEL	Bl6_D4+Poly-IC_in-vitro_0120_in-vitro_0120_BMDM_Mouse
20041222_06_Myd88_D4_091317_1um_LPS_10ng-ul_2h.CEL	Myd88-null_D4+LPS_in-vitro_0120_in-vitro_0120_BMDM_Mouse
20041222_07_Myd88_D4_091317_1um_2h_PAM3_300ng-ml.CEL	Myd88-null_D4+PAM3_in-vitro_0120_in-vitro_0120_BMDM_Mouse
20041222_08_Myd88_D4_091317_1um_2h_PolyIC_6ug-ml.CEL	Myd88-null_D4+Poly-IC_in-vitro_0120_in-vitro_0120_BMDM_Mouse
20050103_01_Myd88_D4_091317_1um_2h.CEL	Myd88-null_D4_in-vitro_0120_in-vitro__BMDM_Mouse
20050208_01_MyD88_LPS_M2-0.CEL	Myd88-null_Unstimulated_in-vitro_0000___BMDM_Mouse
20050208_02_MyD88_LPS_M2-20.CEL	Myd88-null_LPS_in-vitro_0020___BMDM_Mouse
20050208_03_MyD88_LPS_M2-60.CEL	Myd88-null_LPS_in-vitro_0060___BMDM_Mouse
20050208_04_MyD88_LPS_M2-120.CEL	Myd88-null_LPS_in-vitro_0120___BMDM_Mouse
20050209_01_MyD88_PIC_B-20.CEL	Myd88-null_Poly-IC_in-vitro_0020___BMDM_Mouse
20050209_02_MyD88_PIC_B-60.CEL	Myd88-null_Poly-IC_in-vitro_0060___BMDM_Mouse
20050209_03_MyD88_PIC_B-120.CEL	Myd88-null_Poly-IC_in-vitro_0120___BMDM_Mouse
