20070220_01_KK1.0.4hrs.1.CEL	BMDM_Bl6_LPS_0000___Female
20070228_01_KK2.0.4hrs.1.CEL	BMDM_Bl6_LPS_0000___Female
20070228_05_NN.0.4hrs.1.CEL	BMDM_Bl6_LPS_0000___Female
20070611_01_Bl6_LPS_InVitro__0060_____BMDM_F_KK1_KK_Std.CEL	BMDM_Bl6_LPS_0060___Female
20070611_03_Bl6_LPS_InVitro__0060_____BMDM_F_MM_KK_Std.CEL	BMDM_Bl6_LPS_0060___Female
20070611_05_Bl6_LPS_InVitro__0060_____BMDM_F_NN_KK_Std.CEL	BMDM_Bl6_LPS_0060___Female
20100428_08_Bl6_LPS_InVitro__0120_____BMDM_F_A_KK_Std_.CEL	BMDM_Bl6_LPS_0120___Female
20100520_01_Bl6_LPS_InVitro__0120_____BMDM_F_B_KK_Std_.CEL	BMDM_Bl6_LPS_0120___Female
20100520_02_Bl6_LPS_InVitro__0120_____BMDM_F_C_KK_Std_.CEL	BMDM_Bl6_LPS_0120___Female
20070220_02_KK1.LPS.4hrs.1.CEL	BMDM_Bl6_LPS_0240___Female
20070228_02_KK2.LPS.4hrs.1.CEL	BMDM_Bl6_LPS_0240___Female
20070228_06_NN.LPS.4hrs.1.CEL	BMDM_Bl6_LPS_0240___Female
20100714_01_Bl6_LPS_InVitro__0360_____BMDM_F_E_KK_Std_.CEL	BMDM_Bl6_LPS_0360___Female
20100714_02_Bl6_LPS_InVitro__0360_____BMDM_F_F_KK_Std_.CEL	BMDM_Bl6_LPS_0360___Female
20100714_03_Bl6_LPS_InVitro__0360_____BMDM_F_D_KK_Std_.CEL	BMDM_Bl6_LPS_0360___Female
20070618_01_Bl6_LPS_InVitro__0720_____BMDM_F_KK1_DZ_Std.CEL	BMDM_Bl6_LPS_0720___Female
20070618_04_Bl6_LPS_InVitro__0720_____BMDM_F_KK2_DZ_Std.CEL	BMDM_Bl6_LPS_0720___Female
20070618_07_Bl6_LPS_InVitro__0720_____BMDM_F_MM_DZ_Std.CEL	BMDM_Bl6_LPS_0720___Female
